"lati" "long" "z_angle" "azimuth"
-71.667572 262.89575 0 0
-72.162572 260.89575 0 0
-72.657572 258.89575 0 0
-73.042572 256.39575 0 0
-73.427572 253.89575 0 0
-73.7689235 251.140765 0 0
-74.110275 248.38578 0 0
-74.3735025 245.410795 0 0
-74.636728 242.43581 0 257
-74.888867 239.34658 0 257
-75.141006 236.25735 0 239
-75.3175785 232.99678 0 239
-75.494251 229.73621 0 239
-75.5406865 226.37316 0 239
-75.587222 223.01011 0 223
-75.322245 219.84187 0 223
-75.057268 216.67363 0 225
-74.708947 213.756295 0 225
-74.360626 210.83896 0 255
-73.9670205 208.148255 0 255
-73.573425 205.45755 0 220
-72.7620755 203.8289 0 220
-71.950736 202.20025 0 10
-71.3278245 200.30291 0 10
-70.704913 198.40557 0 10
-70.104913 196.81392 0 10
-69.504913 195.22227 0 10
-68.953942 193.76436 0 10
-68.402971 192.30645 0 10
-82.256861 261.277242 0 0
-76.8628455 181.48793 0 180
-71.525933 161.49927 0 0
-72.614689 307.255333 0 0
-73.370847 306.012334 0 0
-74.127005 304.869335 0 90
-74.8736925 303.484605 0 90
-75.62038 302.099875 0 90
-76.2455005 299.834514 0 90
-76.870621 297.569253 0 90
-77.3946245 294.599339 0 90
-77.918628 291.629525 0 100
-78.4564065 288.496823 0 100
-78.994185 285.364121 0 120
-79.570954 282.014741 0 120
-80.147723 278.665361 0 250
-80.6400625 274.511082 0 250
-81.1324 270.356803 0 0
-81.6446305 265.8170225 0 170
-82.5556995 255.617881 0 0
-82.954538 249.95852 0 0
-82.9895855 243.22576 0 0
-83.024633 236.493 0 0
-82.788861 230.12983 0 0
-82.553089 223.76666 0 0
-82.198513 218.20946 0 0
-81.843937 212.65226 0 0
-81.3779545 208.02455 0 0
-80.911972 203.39684 0 0
-80.365183 199.61694 0 0
-79.818394 195.83704 0 0
-79.230841 192.64925 0 0
-78.643288 189.46126 0 0
-77.999848 186.892775 0 0
-77.356408 184.32429 0 180
-76.369283 178.65257 0 180
-75.9033965 175.830245 0 180
-75.43751 173.00892 0 180
-74.9123535 170.548305 0 180
-74.387197 168.08769 0 180
-73.732565 166.32148 0 180
-73.075933 164.55527 0 0
-72.300933 163.02727 0 0
-70.88373 160.451725 0 0
-70.242527 159.40416 0 0
-75.065331 327.116218 0 0
-75.8881425 327.179085 0 0
-76.710952 327.241952 0 0
-77.5329045 327.5892105 0 0
-78.354857 327.936469 0 0
-79.170768 328.749198 0 0
-79.986679 329.561927 0 0
-80.7981205 330.6869055 0 0
-81.609562 331.811884 0 0
-82.417857 333.2338025 0 0
-83.226252 334.655721 0 0
-84.032904 336.472125 0 0
-84.839656 338.288529 0 0
-85.623169 341.6957825 0 0
-86.406682 345.103034 0 0
-87.1483025 352.23820711 0 0
-87.889923 359.37338022 0 0
-88.433531 23.64820011 5 20
-88.977139 47.92302 0 0
-88.633618 81.66749 0 0
-88.290097 125.41196 0 0
-87.5361135 122.782545 0 0
-86.78213 130.25113 0 0
-85.962048 131.28278 0 0
-85.141966 132.41443 0 0
-84.3257475 132.977585 0 0
-83.489529 133.54074 0 0
-82.659827 133.64677 0 0
-81.830125 133.7528 0 0
-80.9991255 133.561355 0 0
-80.168106 133.36991 0 0
-79.3379545 133.233395 0 0
-78.507803 133.09688 0 0
-77.686606 133.49828 0 0
-76.865409 133.89968 0 0
-76.0484675 134.328425 0 0
-75.232526 134.75725 0 0
-74.41904 135.100265 0 0
-73.606554 135.44338 0 0
-72.8008325 135.72412 0 0
-71.995111 136.00486 0 0
-78.507574 30.96223 0 0
-78.007574 26.96223 0 0
-77.557574 22.70334 0 0
-77.107574 18.44445 0 0
-76.652574 14.20334 0 0
-76.197574 9.96 0 0
-75.552574 7.46 0 0
-74.907574 4.96 0 0
-70.714759 21.62198 0 0
-71.496648 22.328125 0 0
-72.278537 23.03425 0 0
-73.061981 23.880185 0 0
-73.845425 24.72612 0 0
-74.6271025 25.75592 0 0
-75.40878 26.78572 0 0
-76.114145 28.598355 0 0
-76.81951 30.41099 0 0
-77.470267 32.818255 0 0
-78.121024 35.22552 0 0
-78.722567 38.19607 0 0
-79.32211 41.16662 0 0
-79.698259 45.304025 0 0
-80.074208 49.44143 0 0
-80.302051 54.1906 0 0
-80.529894 58.93977 0 0
-80.6257605 64.00956 0 0
-80.701627 69.07935 0 0
-80.626797 74.250325 0 0
-80.551967 79.2213 0 0
-80.101694 83.30696 0 0
-79.651421 87.39262 0 0
-79.113324 90.77277 0 0
-78.575227 94.25292 0 0
-77.9832445 96.97563 0 0
-77.391262 99.79834 0 0
-76.772942 102.235555 0 0
-76.254622 104.67277 0 0
-75.4977 106.698495 0 0
-74.840778 108.72422 0 0
-74.1480675 110.369535 0 0
-73.455357 112.01485 0 0
-72.6558725 113.174945 0 0
-71.856386 114.33504 0 0
-71.206386 115.62504 0 0
-70.807732 116.84721 0 0
