"lati" "e_long" "z_angle" "azimuth"
-75.82 303.22 0 0
-75.93 302.57 0 0
-76.25 301.36 0 0
-76.81 297.41 0 0
-77.56 294.81 0 0
-78.44 289.92 0 0
-80.24 278.6 0 0
-81.08 276.69 0 0
-81.98 271.17 0 0
-83.08 261.99 0 0
-83.07 255.1 0 0
-83.2 243.7 0 0
-82.85 231.78 0 0
-82.55 224.78 0 0
-82.17 213.63 0 0
-81.29 204.99 0 0
-80.62 198.89 0 0
-79.04 186.47 0 0
-77.51 183.16 0 0
-76.72 181.57 0 0
-76.17 176.17 0 0
-72.59 179.61 0 0
-72.81 160.08 0 0
-71.51 159 0 0
-75.3 326.69 0 0
-75.99 327.25 0 0
-77.18 329.8 0 0
-77.95 329.36 0 0
-78.76 328.27 0 0
-79.18 330.56 0 0
-80.38 330.35 0 0
-81.16 334.04 0 0
-82.83 337.96 0 0
-84.42 342.64 0 0
-84.4 343.24 0 0
-85.25 348.13 0 0
-86.19 348.5 0 0
-86.98 353.11 0 0
-88.25 1.8 0 0
-88.72 20.37 0 0
-89.21 37.58 0 0
-88.8 87.77 0 0
-87.85 120.65 0 0
-86.14 127.62 0 0
-84 131.19 0 0
-82.98 133.07 0 0
-80.76 129.8 0 0
-79.02 131.72 0 0
-77.64 131.88 0 0
-75.69 130.45 0 0
-72.45 132.58 0 0
-71.42 135.23 0 0
-70.92 134.39 0 0
-77.7 343.91 0 0
-78.54 342 0 0
-79.52 346.19 0 0
-80.46 346.22 0 0
-81.72 345.27 0 0
-82.69 344.2 0 0
-76.11 11.67 0 0
-76.56 16.01 0 0
-77.5 20.28 0 0
-77.96 23.67 0 0
-77.94 27.98 0 0
-78.88 32.44 0 0
-78.56 36.18 0 0
-78.82 38.99 0 0
-79.69 45.03 0 0
-79.86 49.27 0 0
-80.25 55.23 0 0
-80.31 57.25 0 0
-79.9 65.62 0 0
-80.32 68.43 0 0
-80.49 76.81 0 0
-79.97 82.94 0 0
-79.82 87.37 0 0
-77.95 96.2 0 0
-76.99 99.38 0 0
-76.39 104.56 0 0
-75.14 108.27 0 0
-73.14 110.93 0 0
-72.43 113.23 0 0
-71.97 22.25 0 0
-72.87 22.8 0 0
-73.6 23.41 0 0
-74.64 23.66 0 0
-75.55 26.91 0 0
-76.55 30.67 0 0
-74.1 175.19 0 0
-74.07 160.79 0 0
-72.99 326.87 0 0
-74.04 327.22 0 0
-71.24 329.25 0 0
-75.07 243.84 0 0
-74.56 206.8 0 0
-73.17 203.28 0 0
-70.56 195.54 0 0
-69.58 194.49 0 0
-75.95 228.45 0 0
-73.94 252.73 0 0
